번호,제목,관객수,날짜
1번,남산의 부장들,475,2020.01.22.
2번,다만 악에서 구하소서,435,2020.10.28.
3번,반도,381,2020.07.15.
4번,히트맨,240,2020.01.22.
5번,테넷,200,2020.08.26.
6번,백두산,825,2019.12.19.
7번,#살아있다,190,2020.06.24.
8번,강철비2: 정상회담,179,2020.09.30.
9번,담보,171,2020.09.29.
10번,닥터 두리틀,160,2020.01.08.
11번,모가디슈,361,2022.09.07.
12번,이터널스,305,2021.11.03.
13번,블랙 위도우,296,2021.07.07.
14번,분노의 질주: 더 얼티메이트,229,2021.05.19.
15번,싱크홀,219,2021.08.11.
16번,극장판 귀멸의 칼날: 무한열차편,218,2022.04.21.
17번,베놈 2: 렛 데어 비 카니지,212,2021.10.13.
18번,소울,204,2021.01.20.
19번,크루엘라,198,2021.05.26.
20번,샹치와 텐 링즈의 전설,174,2021.09.01.
21번,범죄도시2,1269,2022.05.18.
22번,탑건: 매버릭,823,2022.06.22.
23번,아바타: 물의 길,1080,2022.12.14.
24번,한산: 용의 출현,726,2022.07.27.
25번,공조2: 인터내셔날,698,2022.09.07.
26번,닥터 스트레인지: 대혼돈의 멀티버스,588,2022.05.04.
27번,헌트,435,2022.08.10.
28번,올빼미,332,2022.11.23.
29번,쥬라기 월드: 도미니언,283,2022.06.01.
30번,마녀(魔女) Part2. The Other One,280,2022.06.15.
31번,서울의 봄,1312,2023.11.22.
32번,범죄도시3,1068,2023.05.31.
33번,엘리멘탈,724,2023.06.14.
34번,스즈메의 문단속,557,2024.01.10.
35번,밀수,514,2023.07.26.
36번,더 퍼스트 슬램덩크,488,2023.01.04.
37번,가디언즈 오브 갤럭시: Volume 3,420,2023.05.03.
38번,미션 임파서블: 데드 레코닝 PART ONE,402,2023.07.12.
39번,콘크리트 유토피아,384,2023.08.09.
40번,아바타: 물의 길,1080,2022.12.14.
